-43,-46,0.25
-37,-46,0.25
-31,-40,0.25
-25,-34,0.25
-19,-34,0.25
-13,-40,0.25
-7,-46,0.25
-1,-40,0.25
5,-40,0.25
11,-46,0.25
17,-46,0.25
23,-40,0.25
29,-40,0.25
35,-40,0.25
41,-34,0.25
47,-28,0.25
41,-22,0.25
35,-16,0.25
29,-10,0.25
23,-10,0.25
17,-16,0.25
11,-22,0.25
5,-28,0.25
-1,-34,0.25
-7,-34,0.25
-13,-40,0.25
-19,-46,0.25
-25,-40,0.25
-31,-34,0.25
-37,-28,0.25
-43,-22,0.25
-49,-16,0.25
-43,-10,0.25
-37,-4,0.25
-31,2,0.25
-25,2,0.25
-19,2,0.25
-19,8,0.25
-19,14,0.25
-19,20,0.25
-19,26,0.25
-25,32,0.25
-25,38,0.25
-25,44,0.25
-25,50,0.25
-31,44,0.25
-37,44,0.25
-43,44,0.25
-49,50,0.25
-49,44,0.25
-43,38,0.25
-37,38,0.25
-31,38,0.25
-25,32,0.25
-19,26,0.25
-13,20,0.25
-7,14,0.25
-1,8,0.25
5,2,0.25
11,-4,0.25
17,-10,0.25
23,-16,0.25
29,-16,0.25
35,-16,0.25
41,-10,0.25
47,-4,0.25
41,2,0.25
35,8,0.25
29,2,0.25
23,-4,0.25
17,-10,0.25
11,-16,0.25
5,-22,0.25
-1,-28,0.25
-7,-34,0.25
-13,-40,0.25
-19,-46,0.25
-25,-40,0.25
-25,-34,0.25
-25,-34,0.25
-19,-34,0.25
-13,-40,0.25
-7,-46,0.25
-1,-40,0.25
5,-34,0.25
11,-28,0.25
17,-22,0.25
17,-16,0.25
23,-10,0.25
23,-4,0.25
29,2,0.25
35,8,0.25
41,14,0.25
41,20,0.25
35,26,0.25
29,32,0.25
23,26,0.25
17,20,0.25
11,14,0.25
5,8,0.25
-1,2,0.25
-7,-4,0.25
-13,-4,0.25
-19,-10,0.25
-25,-16,0.25
-31,-22,0.25
-37,-28,0.25
-43,-34,0.25
-49,-40,0.25
-43,-46,0.25
-37,-40,0.25
-31,-34,0.25
-25,-28,0.25
-31,-34,0.25
-31,-40,0.25
-37,-40,0.25
-43,-46,0.25
-49,-46,0.25
-43,-40,0.25
-49,-46,0.25
-48.0,-50.0,0.25
-44.0,-50.0,0.25
-38.0,-50.0,0.25
