-3.0,14.0,0.25
-3.0,14.0,0.25
-3.0,14.0,0.25
-5.0,18.0,0.25
-7.0,22.0,0.25
-7.0,24.0,0.25
-8.0,25.0,0.25
-25.0,19.0,0.25
-23.0,17.0,0.25
-21.0,13.0,0.25
-23.0,9.0,0.25
-23.0,7.0,0.25
-23.0,3.0,0.25
-23.0,-1.0,0.25
-23.0,-5.0,0.25
-23.0,-7.0,0.25
-21.0,-9.0,0.25
-19.0,-11.0,0.25
-19.0,-11.0,0.25
-21.0,-11.0,0.25
-23.0,-11.0,0.25
-21.0,-13.0,0.25
-21.0,-13.0,0.25
-19.0,-11.0,0.25
-19.0,-9.0,0.25
-17.0,-7.0,0.25
-13.0,-7.0,0.25
-9.0,-5.0,0.25
-5.0,-3.0,0.25
-5.0,-1.0,0.25
-5.0,1.0,0.25
-3.0,1.0,0.25
-1.0,-1.0,0.25
1.0,-5.0,0.25
3.0,-7.0,0.25
3.0,-11.0,0.25
3.0,-13.0,0.25
5.0,-13.0,0.25
3.0,-15.0,0.25
-1.0,-17.0,0.25
-5.0,-19.0,0.25
11.0,-25.0,0.25
25.0,-25.0,0.25
23.0,-25.0,0.25
25.0,-25.0,0.25
25.0,-25.0,0.25
25.0,-25.0,0.25
25.0,-23.0,0.25
25.0,-25.0,0.25
23.0,-23.0,0.25
19.0,-21.0,0.25
17.0,-21.0,0.25
17.0,-23.0,0.25
21.0,-23.0,0.25
25.0,-19.0,0.25
23.0,-17.0,0.25
23.0,-15.0,0.25
19.0,-13.0,0.25
15.0,-13.0,0.25
13.0,-11.0,0.25
11.0,-7.0,0.25
7.0,-3.0,0.25
3.0,1.0,0.25
-1.0,1.0,0.25
-7.0,-2.0,0.25
-9.0,-6.0,0.25
-13.0,-8.0,0.25
-15.0,-10.0,0.25
-17.0,-10.0,0.25
-19.0,-10.0,0.25
-17.0,-10.0,0.25
-23.0,-17.0,0.25
-23.0,-21.0,0.25
-23.0,-23.0,0.25
-23.0,-25.0,0.25
-23.0,-23.0,0.25
-23.0,-23.0,0.25
-23.0,-25.0,0.25
-21.0,-23.0,0.25
-21.0,-21.0,0.25
-21.0,-21.0,0.25
-21.0,-21.0,0.25
-21.0,-23.0,0.25
-23.0,-21.0,0.25
-23.0,-17.0,0.25
-23.0,-13.0,0.25
-23.0,-9.0,0.25
-25.0,-7.0,0.25
-23.0,-7.0,0.25
-19.0,-7.0,0.25
-15.0,-7.0,0.25
-13.0,-9.0,0.25
-11.0,-11.0,0.25
-11.0,-13.0,0.25
-9.0,-15.0,0.25
-9.0,-15.0,0.25
-11.0,-13.0,0.25
-13.0,-15.0,0.25
-15.0,-15.0,0.25
-17.0,-13.0,0.25
